sourceId,behaviorId,disposition,rationale,owner
"api:apps/api_server/opencode_plugins/rhythm-anthropic-accounts/README.md:L173","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/opencode_plugins/rhythm-anthropic-accounts/README.md:L174","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/opencode_plugins/rhythm-anthropic-accounts/README.md:L34","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/opencode_plugins/rhythm-anthropic-accounts/README.md:L44","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/opencode_plugins/rhythm-anthropic-accounts/README.md:L58","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/README.md:L35","behavior:empty-loading-error-offline-forbidden","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke_memory_authority.sh:L141","behavior:memory-research-gallery-playbooks-cookbook-schedules-run-quality","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke_memory_authority.sh:L23","behavior:memory-research-gallery-playbooks-cookbook-schedules-run-quality","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke_memory_authority.sh:L36","behavior:files-search-diffs-worktrees","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L133","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L18","behavior:sessions-composer-attachments-stream-retry-cancel-reconnect-transcript","review_required","Conservative generated default from check_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L2","behavior:launch-auth-onboarding","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L20","behavior:launch-auth-onboarding","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L34","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L36","behavior:launch-auth-onboarding","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L38","behavior:launch-auth-onboarding","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/scripts/smoke-launch.sh:L93","behavior:dashboard-planner-tasks-rhythms-projects-messages-facilities-automations-integrations","manual_check","Conservative generated default from manual_check; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L101","behavior:settings-updates","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L115","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L40","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L52","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
"api:apps/api_server/src/__tests__/agent_capability_gaps_postgres.test.ts:L69","behavior:empty-loading-error-offline-forbidden","retained_unit","Conservative generated default from test_declaration; review before claiming browser or native coverage.","parity-matrix"
